,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
RN7SKP172,9.599723,9.739318,9.498641,9.412567,9.174592,8.716258,9.219762
ZDHHC17,8.476377,8.311379,8.387668,8.533831,8.528584,8.472564,8.573671
NAV3,5.828705,6.022233,7.197045,6.467698,5.866411,6.202906,6.520429
SYT1,6.314064,6.367255,5.930541,6.478567,6.948878,6.435721,8.964472
OTOGL,5.020773,6.90216,4.470737,6.920945,5.01901,4.078318,4.270315
MYF6,4.953994,6.261569,4.916268,5.038712,5.462391,5.263701,4.588057
MYF5,5.17617,5.530991,4.83476,5.249492,5.183223,5.136977,5.041381
ACSS3,9.485212,9.882392,9.279884,9.513107,9.792869,9.896156,9.836612
METTL25,7.493308,7.45653,7.363245,7.745998,7.738145,7.732139,7.653471
TMTC2,7.519128,7.098269,7.319489,7.443257,7.828923,7.355883,7.225106
RNU6-977P,4.156694,3.969622,3.681699,3.985015,4.842075,4.032484,3.66042
LRRIQ1,5.484144,5.380024,6.016329,6.040526,6.089571,5.642269,5.332484
ALX1,5.611186,5.769598,5.916577,6.138269,7.263058,6.606056,6.993215
NTS,4.460306,4.445847,4.424497,4.277746,4.862113,4.666321,4.539107
C12orf29,8.868403,8.518953,8.757666,8.778244,8.814704,8.450107,8.144119
RNA5SP364,5.481678,5.169983,4.889003,5.368974,5.463741,5.217189,4.668124
TMTC3,9.573579,9.577795,9.50337,9.556813,9.708616,9.177189,9.01988
RNU1-117P,3.131415,3.231813,3.288042,3.227928,3.288972,3.542752,3.410286
LINC00615,4.26063,4.577331,4.329707,4.592282,4.750963,4.382618,4.430657
CLLU1,3.867317,3.683878,3.620803,3.683285,3.717993,3.556074,3.744429
C12orf74,4.908215,5.424329,5.282678,5.233409,5.041473,5.056592,5.470683
PLEKHG7,4.766101,4.674354,4.501841,4.729247,5.118987,4.83073,5.008915
MRPL42,9.178323,9.282685,9.290214,9.110632,9.310816,8.934519,9.065416
RN7SL737P,8.334474,8.276771,7.846799,7.939951,8.299889,8.575764,8.323187
SOCS2,8.040397,7.759519,7.951754,7.822444,7.889343,7.80737,8.330764
CRADD,7.045859,7.220494,6.764287,7.089745,6.840045,7.134683,7.115576
RN7SL630P,6.75245,6.742778,6.5245,6.637354,6.812867,6.735702,6.477297
PLXNC1,7.269915,6.87235,7.122621,7.789199,6.800469,7.778983,7.516909
RN7SL330P,3.800835,3.751383,3.78745,4.025976,3.930273,3.86067,3.704342
RN7SL483P,8.406968,8.501169,8.002131,8.282288,8.052729,7.749205,7.766688
SUCLG2P2,6.988088,6.627837,6.164742,6.442404,6.572185,6.141185,5.891749
MIR492,4.951534,5.127818,5.667512,5.030098,5.349846,4.860704,4.610835
VEZT,8.404303,8.245987,8.602752,8.290174,8.440996,8.089274,8.194773
RNU6-808P,2.908499,3.001968,3.024945,2.997616,3.829132,3.081845,3.019662
MIR331,5.274432,5.442202,4.730946,5.165316,5.105216,5.253676,5.374572
METAP2,8.889171,8.960957,9.112124,8.777499,8.985693,8.572735,8.758472
SNRPF,5.804181,5.822192,5.999803,5.779813,5.555302,5.656302,5.682396
AMDHD1,7.799088,7.545877,7.125005,7.430408,7.392303,7.592795,7.220585
ELK3,8.01017,7.786026,8.440182,8.096429,8.027938,8.272904,8.07369
NEDD1,8.130842,7.850366,8.391635,7.947384,7.836567,8.116567,8.756744
MIR135A2,3.13757,3.128651,2.979234,3.236285,3.012085,3.37064,2.961444
TMPO,8.713808,8.498058,9.330723,8.867981,8.592752,8.511278,8.405448
SLC25A3,10.6965,10.77917,11.03582,10.70834,10.64002,10.79951,10.82996
APAF1,6.775348,6.704782,7.554543,7.140786,7.014101,6.777838,6.45732
FAM71C,4.745836,4.806763,4.610685,4.760422,4.621579,4.253994,4.523913
ACTR6,6.659205,6.704146,6.76273,6.493873,6.741318,6.546036,6.228132
SCYL2,10.41059,10.32906,10.36871,10.28975,10.24644,10.05745,9.711877
SLC17A8,4.653875,4.639276,4.571217,4.768282,4.935706,4.499195,4.50544
NR1H4,7.530013,7.363228,7.462977,7.509087,6.879879,7.413398,6.740454
GAS2L3,8.500544,8.689684,9.026418,8.239547,7.436403,8.578291,7.811595
ANO4,4.996629,5.134789,5.004499,4.809802,4.786985,4.992674,5.781472
UTP20,7.427182,7.273409,7.787817,7.370921,7.442347,7.433562,7.155392
RNU6-1068P,3.24865,2.840797,2.988033,3.300639,3.218585,3.281384,3.105964
RNU5E-5P,2.781374,2.815491,2.758783,2.875864,2.851909,3.014526,2.826775
RNA5SP367,3.9603,4.298406,4.014381,3.975869,4.148945,4.455451,4.439219
SPIC,5.528638,4.571426,5.215748,6.257863,4.876758,5.497021,4.540175
MYBPC1,4.698307,9.922434,4.71277,7.273017,9.905421,4.70544,5.088349
CHPT1,10.56107,10.40026,10.10373,10.57429,10.46539,10.66119,10.22517
RNA5SP369,3.520013,3.879116,3.670127,3.690595,3.501213,3.560577,3.694908
DRAM1,8.738332,8.466412,9.836559,8.8458,8.404314,9.183985,8.807716
PARPBP,4.33862,4.438057,5.557511,4.716248,4.255173,4.248053,4.322426
ASCL1,5.581458,5.807277,5.762959,5.68981,5.645734,5.146332,5.501432
STAB2,5.34806,5.464467,5.157488,5.090046,5.442739,5.33987,5.490532
HSP90B1,12.10971,12.18113,12.25237,12.24795,12.15763,11.97341,11.77242
TDG,6.4723,6.40207,6.995028,6.420418,6.434553,6.327967,6.139372
HCFC2,7.706663,7.598894,7.690176,7.658024,7.822215,7.811883,7.664022
TXNRD1,8.222907,8.303492,8.794216,8.303569,8.389267,8.457877,8.107078
EID3,6.238435,6.280016,6.352736,6.53612,6.516031,6.244804,6.37053
CHST11,8.242335,8.721632,8.779695,8.910738,8.324961,8.603089,9.260205
C12orf45,6.349406,5.863549,6.306134,6.035254,6.262685,6.559284,6.358222
KIAA1033,10.10132,9.916795,9.995205,10.17667,10.02642,9.680008,9.248593
C12orf75,10.60869,10.62205,11.32135,10.55315,10.19337,10.43746,9.93376
TCP11L2,8.372514,8.69442,8.412693,8.578863,8.717023,8.34359,8.262178
POLR3B,7.791979,7.803159,7.670605,7.714357,7.885055,7.577419,7.735313
RFX4,4.526305,4.37457,4.343626,4.651256,4.581617,4.637354,4.335226
RIC8B,7.654829,7.459837,7.823469,7.488215,7.633329,7.566477,7.639027
TMEM263,8.748143,8.83796,8.99273,8.91759,9.145656,8.736345,8.874424
PWP1,8.651748,8.564328,9.11963,8.461399,8.544821,8.714667,8.655906
ASCL4,5.231049,5.224521,5.125039,5.08757,5.007281,5.030404,5.126425
WSCD2,5.967274,6.06267,6.011081,6.08262,5.979709,5.903423,6.699078
FICD,8.168905,7.692711,8.091077,8.091836,8.057072,8.48941,8.637886
ISCU,10.52491,10.67638,10.2887,10.63384,10.49316,10.51359,10.38295
DAO,10.91462,10.6286,7.681685,10.31034,10.2832,10.89996,10.26465
USP30,9.331675,9.433255,8.761754,9.180131,9.24911,9.291111,9.360432
RNA5SP372,5.537242,5.679011,5.443728,5.672147,5.872933,5.271959,5.219544
UNG,7.196867,7.433384,7.359468,7.155051,7.036974,7.397819,7.272432
ACACB,7.944779,8.17687,7.496945,8.13129,8.527788,8.489971,8.577117
MYO1H,4.10618,3.868857,3.811982,3.886628,3.78382,3.914067,3.792085
UBE3B,9.244911,9.176823,9.173146,9.100431,9.281274,9.262039,9.113691
MVK,7.525004,7.570164,7.629467,7.475093,7.646593,7.89966,7.894769
FAM222A,7.065599,7.352557,7.265372,7.372861,7.460318,7.306942,7.479224
TCHP,7.5101,7.436152,7.619424,7.370406,7.301527,7.63297,7.581539
ANKRD13A,9.009507,8.932722,9.248539,9.274793,9.126365,9.222024,9.556492
IFT81,6.607155,6.371728,6.653012,6.908828,6.967381,6.791971,6.657069
ATP2A2,10.37991,10.36402,10.55215,10.42863,10.59717,10.27104,10.1397
FAM216A,5.924992,5.66631,6.376159,5.898152,6.076206,6.209564,6.680654
RAD9B,3.633825,3.689251,3.714825,3.690054,3.812411,4.100027,3.954129
TCTN1,8.986316,8.973041,8.664064,9.000468,8.931285,8.917869,8.819529
CCDC63,4.654046,4.553717,4.50881,4.768197,4.413218,4.505141,4.596794
LINC01405,6.599377,6.735627,6.490021,6.683381,6.483254,6.241179,6.311983
CUX2,6.180311,6.155645,5.851639,6.001383,6.116125,5.821615,5.919393
SH2B3,7.863997,7.933629,8.680811,8.519097,7.999584,8.205451,8.066771
ACAD10,8.723544,8.395054,8.621355,8.531444,8.445948,8.758745,8.389474
ALDH2,12.28734,12.14154,11.38337,12.18436,12.16313,12.32528,11.9368
MAPKAPK5,9.061842,8.967959,9.172459,9.112976,9.081316,9.239994,9.173609
ERP29,9.272085,9.180328,9.176423,9.285227,9.169046,9.454587,9.232892
TRAFD1,8.100284,7.963525,8.406069,8.114931,7.928508,8.257368,8.429136
RN7SKP71,3.115887,3.044331,3.04149,3.016234,2.920838,3.174685,3.049089
PTPN11,9.813523,10.03644,10.44166,9.90814,9.871811,9.661611,9.658209
RPH3A,5.322138,5.107569,5.029888,5.105422,5.051169,4.899649,5.334139
OAS1,8.54705,8.279896,8.841187,8.668947,8.9745,8.98625,8.3836
OAS3,6.874905,6.786074,7.79836,6.639774,7.180203,7.31015,6.895327
OAS2,7.41107,7.108896,8.422828,7.51843,7.53114,7.858922,7.016673
DTX1,6.915762,6.920128,6.647853,6.883156,7.272803,6.940578,7.296636
RITA1,7.807227,7.601236,7.671987,8.005643,7.922134,8.22614,8.074348
TPCN1,10.52558,10.32766,9.214863,10.20686,10.12544,10.36433,10.104
PLBD2,8.181401,8.367278,8.481329,8.198708,7.991278,8.351993,8.428096
SDSL,8.468622,8.452869,8.000699,8.379871,8.458903,8.553897,8.71619
RN7SL865P,4.657768,4.900851,4.576754,4.880706,4.715853,4.492534,4.634385
RNU6-1188P,3.664734,3.447574,3.428937,3.889244,4.21756,4.526711,3.989828
LINC00173,5.792888,6.284527,6.239944,6.37965,6.319546,6.098527,6.85318
MAP1LC3B2,10.26634,10.3694,10.71132,10.40212,10.4094,10.53383,10.26031
RNFT2,7.07719,6.946089,7.479957,6.857936,6.79845,6.99672,7.305634
FBXW8,7.566956,8.007338,8.141702,7.937811,7.79969,8.033921,7.726263
RFC5,7.243554,7.24452,7.696055,7.206869,7.236739,7.386506,7.412777
PEBP1,12.06965,11.98073,11.58367,12.02662,12.04193,12.32972,12.19382
RPS2P5,9.184622,9.414503,10.15987,9.440079,9.344583,9.301248,9.260404
RNA5SP374,4.294675,3.874661,3.792601,4.335239,4.022469,3.692667,3.993533
SRRM4,5.663196,5.98758,5.621605,5.837027,5.620781,5.478497,5.868306
RN7SL508P,6.054669,5.889775,5.56631,5.914693,6.203027,5.392771,5.691702
HSPB8,8.962061,8.841436,9.872031,9.22564,8.26674,9.406489,9.653205
CCDC60,5.069482,4.948754,4.739782,5.066195,5.10269,5.090171,5.33225
PRKAB1,10.21706,10.24042,10.28727,10.31301,10.48733,10.54603,10.58837
CCDC64,8.236129,8.529018,8.126984,8.299294,8.048498,8.762786,8.465814
NME2P1,9.416036,9.780659,10.49821,9.732096,9.113943,9.952701,10.0665
SIRT4,5.591401,5.866275,5.376935,5.872812,5.600072,6.028994,5.969218
GATC,9.976162,10.0817,10.15913,10.06932,9.956226,10.16551,10.16692
RNF10,9.622832,9.610506,9.609766,9.551396,9.665577,9.882453,9.860509
CABP1,6.267504,6.505769,6.45585,6.270518,6.50975,6.791514,6.817421
MLEC,10.42326,10.40903,10.21945,10.41999,10.30661,10.39302,10.17659
UNC119B,8.24222,8.255127,8.095231,8.170136,8.239177,8.275078,8.206979
ACADS,8.773405,8.594807,8.449646,8.837445,8.586588,8.854889,8.91598
CLIC1P1,5.789659,5.818799,6.09668,5.600805,5.460927,5.634444,5.425341
HNF1A,7.989336,8.175542,7.493423,7.919846,7.874688,8.39466,7.909017
P2RX7,5.747517,6.140239,6.544123,6.458598,5.530154,6.586013,7.547655
P2RX4,8.611357,8.329202,8.406675,8.072725,7.956386,8.121466,8.220858
RNF34,8.072631,8.150278,8.42272,8.09239,8.045392,8.312211,8.425691
RNU6-1004P,3.856002,3.788201,3.935663,3.907724,4.193495,4.142427,4.331696
ORAI1,7.561154,7.596624,8.148142,7.751015,7.474833,7.914158,7.776609
SETD1B,7.609638,7.797965,7.812398,7.688917,7.722968,8.091521,7.975811
PSMD9,7.221354,7.407934,7.489585,7.358464,7.017549,7.673982,7.598223
WDR66,6.486342,6.499645,6.248088,6.825195,6.700916,6.826546,6.440967
BCL7A,7.866816,7.690085,7.912853,7.838429,7.878042,8.406083,8.229377
MLXIP,8.765423,8.649008,9.063452,8.673777,8.764544,9.044112,9.067022
LRRC43,5.891594,6.037077,5.924748,5.838176,5.665722,6.012523,5.97912
B3GNT4,7.978878,7.662732,7.579756,7.550127,7.347309,7.593787,7.500409
KNTC1,6.184847,5.990822,6.952338,6.00784,5.998808,5.968704,6.054107
DENR,7.366749,7.542561,7.968053,7.436448,7.331657,7.590672,7.299782
CCDC62,4.539267,4.552071,4.625345,4.586576,4.645772,4.443742,4.560131
HIP1R,7.757309,7.865693,7.91879,7.603256,7.739883,8.224223,7.812643
OGFOD2,6.968089,7.102812,6.893657,6.935728,7.128145,7.057924,7.238476
ARL6IP4,8.914239,8.853614,8.805283,8.880111,8.648181,9.15077,9.081596
C12orf65,7.453012,7.579531,7.430779,7.359793,7.384114,7.432751,7.692817
SNRNP35,6.556421,6.601103,6.556019,6.386018,6.627745,7.023748,7.083982
TMED2,11.66192,11.6933,12.06141,11.78709,11.73817,11.75361,11.76548
DDX55,7.006847,6.858498,7.158676,7.036866,7.053227,6.996283,6.759014
GTF2H3,7.789329,7.786671,8.089578,7.814021,7.777976,7.871387,8.012244
TCTN2,8.796134,8.753798,8.828597,8.524041,8.829907,8.82488,9.041546
ATP6V0A2,8.005587,7.950291,7.839214,7.659153,7.720779,8.211238,8.131798
ZNF664,9.000453,9.152792,9.237438,9.112292,8.920575,8.926092,8.986606
ZNF664-FAM101A,6.218422,6.432624,6.562397,6.397159,6.378666,6.372332,6.573614
RNU6-927P,2.89977,2.801252,2.790119,3.011857,2.784782,2.993413,2.892919
BRI3BP,8.321861,8.372982,8.583956,8.544083,8.288561,8.684649,8.460114
AACS,7.445764,7.300024,7.821439,7.427806,7.438233,7.676815,7.958822
TMEM132B,5.115253,5.02638,5.004641,5.122158,4.746483,4.951974,5.023961
LINC00943,4.850267,4.716957,4.853023,4.746776,4.686239,4.934653,4.846556
RNU1-104P,3.209498,3.20839,3.475304,3.322908,3.479136,2.944419,3.123255
TMEM132C,5.900237,5.866287,5.602781,5.89695,5.557887,5.17813,6.248251
GLT1D1,5.2008,5.566508,5.162326,5.324415,5.160369,5.025075,5.457581
FZD10,6.324438,6.486493,6.433981,6.384334,6.439446,6.261638,6.388265
PIWIL1,4.681462,4.819276,4.93149,4.99862,5.167434,5.103702,4.768658
RAN,8.746835,8.774533,9.289649,8.793825,8.659613,8.738408,8.765325
GPR133,6.087694,6.535885,6.27331,6.321223,6.559699,6.52175,7.499915
LOC338797,6.486905,6.706791,6.521257,6.511802,6.425212,6.186682,6.162744
SFSWAP,8.263618,8.227735,8.39366,8.280818,8.311256,8.554127,8.68936
MMP17,6.19411,6.203946,6.257238,6.289014,5.937603,6.039561,6.560841
ULK1,7.918074,8.019172,7.905744,7.671888,7.766048,8.170035,8.268955
PUS1,7.407799,7.623389,7.826828,7.56167,7.484447,7.388476,7.354344
EP400,7.755462,7.653114,7.691551,7.61364,7.827808,8.024007,7.929724
SNORA49,8.247809,8.55686,8.120756,7.978088,7.19771,7.788369,8.245093
EP400NL,6.283657,6.014844,6.037077,6.351792,6.088652,5.963433,6.184258
NOC4L,7.371179,7.097699,7.499093,7.048987,7.042675,7.447335,7.486776
FBRSL1,8.464264,8.456491,8.531791,8.300094,8.422335,8.676818,8.660128
P2RX2,6.578163,6.718093,6.528866,6.529173,6.407654,6.522683,6.620441
PGAM5,8.907256,9.052428,9.120688,8.933599,8.983608,9.083685,8.948502
RPS11P5,11.35908,11.31312,11.55221,11.31252,11.36962,11.11398,10.89935
ZNF26,6.177576,6.245511,6.332083,6.249242,6.38499,6.432702,6.219319
ZNF84,7.929063,7.982726,8.146844,7.962672,8.140578,8.016956,7.965691
ZNF140,7.367069,7.393203,7.669935,7.212765,7.51774,7.645985,7.4315
ZNF10,6.317124,6.191571,6.04283,6.367073,6.706051,6.243477,6.338594
ZNF268,7.838723,7.838064,8.152791,7.659791,7.937164,7.827314,7.902114
FAM138D,4.15867,3.644996,3.652869,3.639421,3.984158,4.06049,3.806458
SLC6A12,8.650857,8.753318,8.004336,8.636116,8.485333,9.055728,8.932012
SLC6A13,10.25647,10.476,8.48269,10.21556,10.82685,10.94901,10.27544
KDM5A,7.898605,7.709883,7.926223,7.918504,8.012931,7.917826,7.674467
NINJ2,6.64832,6.817772,6.727729,6.782039,6.776652,6.502747,6.695731
RAD52,7.706039,7.276671,7.620899,7.616325,7.641802,7.470036,8.018239
FBXL14,8.070937,8.023783,7.63052,7.689053,7.918242,7.997583,8.086351
CACNA2D4,6.411164,6.502006,6.280266,6.263197,6.216227,6.010272,6.249596
DCP1B,8.557479,8.459504,8.666926,8.407375,8.560508,8.504874,9.218384
NRIP2,7.722406,7.546375,7.724758,7.492655,7.756914,8.282087,8.291983
LOC101929469,7.560605,7.692727,7.268053,7.980268,7.702765,7.34802,7.74207
FOXM1,5.320844,5.263623,6.845164,5.476866,5.284793,5.797611,5.644151
RNU6-1315P,5.943695,5.882308,6.122105,5.828966,5.809472,6.099997,6.137025
LOC100128816,6.291414,6.188665,6.643498,6.663378,6.540287,6.61897,5.967967
RNU6-174P,7.132321,7.259595,6.674439,7.066751,7.03045,6.591726,5.968716
PARP11,6.220158,5.994594,6.6541,6.635339,6.442763,6.264052,6.512467
FGF23,5.867138,5.75431,5.71647,6.083521,6.091901,5.718166,5.897329
FGF6,5.462048,5.455071,5.236803,5.358506,5.269412,5.197662,5.505683
C12orf4,8.123247,7.842598,8.463376,8.198021,8.005022,7.805419,7.823747
AKAP3,6.183805,6.472527,6.242017,6.293771,5.692132,6.486621,6.224307
FLJ44874,5.067781,4.853707,4.961835,4.8545,4.907321,4.885698,4.974852
ANO2,5.538863,5.353788,5.439703,5.772312,5.780695,5.749798,5.699607
VWF,6.912273,6.610435,6.538299,6.533794,6.497365,6.896476,7.349636
RN7SL69P,6.850168,6.617356,6.356286,6.645588,6.745226,6.495777,6.523342
TNFRSF1A,9.377828,9.718023,9.972813,9.603229,9.408382,9.80493,9.725111
SCNN1A,9.811825,9.993266,9.267577,10.02993,10.25042,10.04517,9.858934
VAMP1,7.316,7.302047,7.225572,7.382473,7.380859,7.648589,8.649552
MRPL51,10.97643,11.05793,11.15265,10.94879,10.94074,11.35274,11.42459
IFFO1,7.101492,7.397127,7.204389,7.203129,7.028384,7.347334,7.386796
NOP2,7.553875,7.616926,8.314896,7.948092,7.826142,8.125311,7.911491
CHD4,9.279059,9.416091,9.52494,9.249889,9.460534,9.449802,9.502009
SCARNA11,5.270548,5.473605,5.358321,5.301624,5.269809,5.300954,5.467853
LPAR5,7.29821,7.410821,7.263991,7.579166,7.196977,7.319772,7.33643
ACRBP,6.747589,6.905195,6.881009,7.012266,6.732074,6.890684,6.920045
ING4,8.400448,8.590252,8.737207,8.446822,8.377636,9.085703,9.181018
PIANP,6.081224,6.104062,6.097268,6.043977,6.143695,5.908455,7.298928
MLF2,10.55787,10.75084,10.74402,10.63668,10.79723,11.17389,11.12224
RN7SL380P,4.395254,4.442974,4.281067,4.379423,4.47929,4.157284,4.007585
CDCA3,5.686204,5.668758,6.374691,6.079893,5.960073,5.893981,6.016188
SPSB2,7.412688,7.432567,7.234118,7.47968,7.439833,7.10357,7.347183
PHB2,10.29381,10.41211,10.56876,10.23005,10.14704,10.48847,10.58956
SCARNA12,9.37203,9.947037,9.571352,9.781814,9.490414,9.138002,9.703837
LPCAT3,11.39685,11.63334,11.90864,11.56996,11.3664,11.55451,11.42617
C1R,9.269227,9.471713,9.604827,9.822774,9.271718,9.931368,9.889909
C1RL,7.377206,7.486247,8.421022,7.86288,7.259595,7.828225,8.066249
RBP5,11.48388,11.31502,10.28345,11.21566,10.93522,11.4388,10.85588
CD163L1,6.603386,6.662191,6.39446,7.207872,6.640192,6.955353,6.28587
CD163,7.267199,6.889906,7.928881,7.322105,6.395087,7.077382,6.909891
APOBEC1,4.852449,4.613136,4.554675,4.731596,4.687845,4.654053,4.705651
GDF3,4.9941,5.05206,4.73344,4.886748,5.046256,5.502521,5.843867
CLEC4C,5.009912,4.776891,4.607736,5.875463,4.668238,4.993233,4.674438
SLC2A14,6.577586,6.734428,6.796581,6.913117,6.580928,6.713376,6.786167
SLC2A3,7.514437,7.218802,7.778182,7.591747,7.396414,7.55072,7.226593
C3AR1,7.760328,7.70249,8.593998,7.846276,7.118812,8.210945,7.846997
POU5F1P3,6.873179,6.818007,7.031267,6.863331,6.562689,6.700152,6.809509
FAM86FP,7.848302,8.243639,8.003096,7.9413,7.72907,8.174881,8.463132
LINC00937,8.278559,8.473237,8.359136,8.379075,8.255484,8.033011,8.185035
OR7E140P,7.875053,7.773387,7.744796,7.756373,8.403298,8.055853,7.742454
OR7E149P,7.241597,7.038912,6.992336,6.978561,7.638656,7.102693,6.954471
CLEC4E,3.939856,3.739966,3.992577,3.713958,3.699246,3.750338,4.142111
AICDA,4.938111,4.840737,4.625889,4.88194,4.859612,4.914946,4.800026
MFAP5,7.152632,8.69672,5.908191,7.676221,8.078941,9.027386,6.947092
M6PR,10.30161,10.36111,10.53864,10.47374,10.48322,10.58927,10.71759
LINC00612,4.812116,4.886625,4.853332,4.967929,4.851772,4.932981,5.020867
A2M,11.64977,11.83908,12.16055,12.07633,11.88906,11.99517,11.64552
PZP,5.002478,5.098278,4.918731,5.148822,5.122527,4.990733,4.76888
KLRB1,5.610298,4.942349,4.611976,6.272061,5.18925,5.55528,5.195193
RNU6-700P,4.606327,4.468782,4.453738,4.662737,4.43847,4.586796,4.48818
CLECL1,4.009379,3.88552,4.096684,4.183776,4.026142,4.46915,4.27401
CD69,6.092988,4.985525,5.705211,5.830534,5.107678,5.410663,5.140329
CLEC2B,5.698823,5.681065,6.141298,5.624237,5.063029,5.961106,5.685369
CLEC2A,4.053304,4.1149,3.882023,3.946903,4.211455,4.128424,4.12923
FLJ46363,6.328545,6.408607,5.634053,6.085558,5.906755,5.748484,5.949595
CLEC1B,4.453571,4.230076,4.377534,4.652651,4.667736,4.412853,4.437833
CLEC1A,6.56872,6.401632,6.185408,6.274349,6.069413,6.243952,6.736545
CLEC7A,4.273062,4.488284,4.569546,4.777804,4.385702,4.707701,4.304961
OLR1,7.933602,9.08704,9.203804,8.478948,8.502608,8.748955,7.401235
KLRC4,5.025288,4.201147,4.396562,5.126185,4.831839,5.100481,4.637283
KLRC3,4.266782,3.721962,3.851365,3.720798,4.127586,4.069578,3.820639
KLRC2,3.264169,2.834035,2.78972,3.244771,3.297589,3.282088,3.027604
KLRC1,4.422992,3.950824,4.092109,4.208578,4.257153,4.255054,4.017676
KLRAP1,5.790585,5.314831,6.044808,5.822876,5.714117,5.151238,4.982713
MAGOHB,7.838384,7.415855,7.781416,7.60952,8.035432,7.850143,7.684161
STYK1,4.823515,4.684308,4.913657,4.705318,4.954317,4.839415,4.748833
YBX3,10.15321,10.51737,11.05342,10.12591,10.43989,10.37331,10.63574
TAS2R7,3.713745,3.803328,3.602438,3.781442,3.933447,3.970101,4.011319
TAS2R8,4.218807,3.930207,4.076372,4.231176,4.435133,3.80472,3.965853
TAS2R9,3.90913,3.780992,3.779894,3.816001,4.044894,4.049891,3.858739
TAS2R10,6.874772,6.565376,6.105834,6.898106,7.462119,5.989526,6.244556
PRR4,7.368935,7.170594,6.910422,7.234229,7.414326,6.898755,7.284247
PRH1,7.275807,7.130076,7.063656,7.462994,7.817011,7.213582,7.137486
PRB4,6.061104,5.960593,5.673905,6.167218,6.010952,5.705802,5.968774
TAS2R13,5.575175,5.197043,5.043452,5.915734,6.5975,5.422987,4.655876
TAS2R14,6.708635,6.41399,5.881351,6.801664,7.621989,6.476275,6.07468
TAS2R50,5.808931,5.478461,4.895323,6.268144,6.559496,5.926985,5.271295
TAS2R20,6.646388,6.251154,5.648967,6.812628,7.714307,6.21089,5.48666
TAS2R19,5.814166,5.848346,5.615082,6.620424,7.141762,5.891538,5.663296
TAS2R31,5.873146,5.760129,5.567998,6.752111,6.94218,5.583692,5.292816
TAS2R46,3.834386,3.877434,3.748509,4.027285,4.442827,3.80925,3.552515
TAS2R43,3.953548,3.860096,3.557076,3.611763,4.587975,4.249766,3.430725
TAS2R42,4.762727,4.338525,4.294003,4.248338,4.336046,4.336306,4.334468
PRB3,7.606124,7.636046,7.400932,7.534888,7.730713,7.721481,7.817239
LRP6,9.347989,9.318236,8.725394,9.193291,9.530376,9.49108,9.310315
RNU6-1295P,5.531628,5.879042,5.567454,5.591689,5.595373,5.468609,6.005048
MANSC1,8.371464,8.390162,8.972618,8.115273,8.328867,8.311866,8.794885
DUSP16,8.29667,8.306814,8.345288,8.289951,8.140164,8.600979,8.43691
GPR19,4.876981,4.737559,4.658052,4.729905,4.954333,4.744137,4.80913
GPRC5D,4.903165,4.681199,4.69868,4.693783,4.730925,5.136127,4.702576
HEBP1,8.716827,8.981013,9.05067,8.846422,8.784228,9.700344,9.850068
GSG1,4.721741,4.897872,4.807249,4.54542,4.632664,4.87785,4.757484
C12orf36,3.91079,4.181214,4.002232,3.854133,4.04949,3.911722,4.348179
RNA5SP353,6.13483,6.506682,5.9422,5.741981,5.300439,5.189525,4.857047
